sample_original	sample_std	base_sample	hap
AG05253_1_hap1	s01-h1	AG05253_1	1
AG05253_1_hap2	s01-h2	AG05253_1	2
AG06939_13_hap1	s02-h1	AG06939_13	1
AG06939_13_hap2	s02-h2	AG06939_13	2
PR00251_hap1	s03-h1	PR00251	1
PR00251_hap2	s03-h2	PR00251	2
PR00366_hap1	s04-h1	PR00366	1
PR00366_hap2	s04-h2	PR00366	2
